id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,0,1,1,1,https://112.17u.cn,112.17u.cn,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,443,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
2,0,1,1,1,http://112.17u.cn,112.17u.cn,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
3,0,1,1,1,https://17u.cn,17u.cn,0,17u.cn,61.177.22.232,1,0,443,200,OK,同程旅行_旅游_旅游线路_旅行_出国旅游_自驾游_周边游_旅游网站,openresty/1.15.8.2,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
4,0,1,1,1,http://17u.cn,17u.cn,0,17u.cn,61.177.22.232,1,0,80,200,OK,同程旅行_旅游_旅游线路_旅行_出国旅游_自驾游_周边游_旅游网站,openresty/1.15.8.2,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
5,0,0,0,1,https://3g.17u.cn,3g.17u.cn,1,wap.17u.cn.tcylgslb.com,61.155.159.101,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='3g.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020768FE7548>, 'Connection to 3g.17u.cn timed out. (connect timeout=3.05)'))""),)",,,61.155.159.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,SiteDossierQuery
6,0,0,0,1,http://3g.17u.cn,3g.17u.cn,1,wap.17u.cn.tcylgslb.com,61.155.159.101,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='3g.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020769963E48>, 'Connection to 3g.17u.cn timed out. (connect timeout=3.05)'))""),)",,,61.155.159.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,SiteDossierQuery
7,1,0,0,1,https://alipay.17u.cn,alipay.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='alipay.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020769BD4048>, 'Connection to alipay.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
8,1,0,0,1,http://alipay.17u.cn,alipay.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='alipay.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020769C144C8>, 'Connection to alipay.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
9,0,1,1,1,http://api.17u.cn,api.17u.cn,1,cd.node.tcylgslb.com,140.143.84.81,1,1,80,200,OK,Welcome to OpenResty!,openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,SiteDossierQuery
10,0,1,1,1,https://api.17u.cn,api.17u.cn,1,cd.node.tcylgslb.com,140.143.84.81,1,1,443,200,OK,Welcome to OpenResty!,openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,SiteDossierQuery
11,0,1,1,1,http://apmfront.17u.cn,apmfront.17u.cn,1,cd.node.tcylgslb.com,140.143.84.81,1,1,80,200,OK,Welcome to OpenResty!,openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,AlienVaultQuery
12,0,1,1,1,https://apmfront.17u.cn,apmfront.17u.cn,1,cd.node.tcylgslb.com,140.143.84.81,1,1,443,200,OK,Welcome to OpenResty!,openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,AlienVaultQuery
13,0,0,0,1,https://autodiscover.17u.cn,autodiscover.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='autodiscover.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020767E31FC8>, 'Connection to autodiscover.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,CertSpotterQuery
14,0,0,0,1,http://autodiscover.17u.cn,autodiscover.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='autodiscover.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020769AA22C8>, 'Connection to autodiscover.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,CertSpotterQuery
15,0,0,0,1,https://bao.17u.cn,bao.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='bao.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020767F97908>, 'Connection to bao.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
16,0,0,0,1,http://bao.17u.cn,bao.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='bao.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020769B2E408>, 'Connection to bao.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
17,1,0,0,1,https://bbs.17u.cn,bbs.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='bbs.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207699A85C8>, 'Connection to bbs.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
18,1,0,0,1,http://bbs.17u.cn,bbs.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='bbs.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020769B74488>, 'Connection to bbs.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,SiteDossierQuery
19,0,1,1,1,http://bus.17u.cn,bus.17u.cn,1,bus.17u.cn,61.177.22.232,1,1,80,200,OK,,Tengine/2.1.2,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
20,0,1,1,1,https://bus.17u.cn,bus.17u.cn,1,bus.17u.cn,61.177.22.232,1,1,443,200,OK,,Tengine/2.1.2,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
21,0,1,1,1,https://ccrm.17u.cn,ccrm.17u.cn,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,443,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
22,0,1,1,1,http://ccrm.17u.cn,ccrm.17u.cn,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
23,0,0,0,1,http://cm.17u.cn,cm.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='cm.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020767E29808>, 'Connection to cm.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,CertSpotterQuery
24,0,0,0,1,https://cm.17u.cn,cm.17u.cn,1,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='cm.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020767F97988>, 'Connection to cm.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,CertSpotterQuery
25,0,0,0,1,http://csr11.net.17u.cn,csr11.net.17u.cn,2,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='csr11.net.17u.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020767F9C6C8>, 'Connection to csr11.net.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,RiddlerQuery
26,0,0,0,1,https://csr11.net.17u.cn,csr11.net.17u.cn,2,ebkwww.17u.cn.tcylgslb.com,115.29.196.133,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='csr11.net.17u.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000207699AA108>, 'Connection to csr11.net.17u.cn timed out. (connect timeout=3.05)'))""),)",,,115.29.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国浙江省杭州市,阿里云,RiddlerQuery
27,0,1,1,1,http://css.17u.cn,css.17u.cn,1,"1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com,1104857.p23.tc.cdntip.com","223.85.59.79,117.174.151.78,117.174.151.116,36.170.48.124,36.170.48.64,117.174.151.104,223.85.59.106,117.174.151.119","1,1,1,1,1,1,1,1",1,80,403,Forbidden,403 - 禁止访问: 访问被拒绝。,"Microsoft-IIS/7.5,ASP.NET","223.85.0.0/17,117.174.0.0/16,117.174.0.0/16,36.170.0.0/17,36.170.0.0/17,117.174.0.0/16,223.85.0.0/17,117.174.0.0/16","AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808","Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.","中国四川省成都市,中国四川省成都市,中国四川省成都市,中国,中国,中国四川省成都市,中国四川省成都市,中国四川省成都市","移动,移动,移动,移动,移动,移动,移动,移动",IP138Query
