id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,0,1,1,1,http://crm.17usoft.com,crm.17usoft.com,1,"crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com","36.147.1.210,36.147.1.211,36.147.1.206,36.147.1.212,36.147.1.205,36.147.1.5,36.147.1.208,36.147.1.209","1,1,1,1,1,1,1,1",1,80,200,OK,Welcome to OpenResty!,"Tengine,cache16.l2nu20-1[40,0], vcache21.cn2735[58,0]","36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18","AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808","Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.","中国,中国,中国,中国,中国,中国,中国,中国","移动,移动,移动,移动,移动,移动,移动,移动",IP138Query
2,0,1,1,1,https://crm.17usoft.com,crm.17usoft.com,1,"crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com,crm.17usoft.com.w.kunlunpi.com","36.147.1.210,36.147.1.211,36.147.1.206,36.147.1.212,36.147.1.205,36.147.1.5,36.147.1.208,36.147.1.209","1,1,1,1,1,1,1,1",1,443,200,OK,Welcome to OpenResty!,"Tengine,cache12.l2cm9-7[45,0], vcache13.cn2735[67,0]","36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18","AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808","Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.","中国,中国,中国,中国,中国,中国,中国,中国","移动,移动,移动,移动,移动,移动,移动,移动",IP138Query
3,0,1,1,1,https://finance.qa.17usoft.com,finance.qa.17usoft.com,2,finance.qa.17usoft.com,58.211.111.21,1,1,443,403,Forbidden,403 Forbidden,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,CertSpotterQuery
4,0,1,1,1,http://finance.qa.17usoft.com,finance.qa.17usoft.com,2,finance.qa.17usoft.com,58.211.111.21,1,1,80,403,Forbidden,403 Forbidden,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,CertSpotterQuery
5,0,1,1,1,http://hongtu.17usoft.com,hongtu.17usoft.com,1,hongtu.17usoft.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
6,0,1,1,1,https://hongtu.17usoft.com,hongtu.17usoft.com,1,hongtu.17usoft.com,61.177.22.232,1,1,443,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
7,0,0,0,1,https://mail.17usoft.com,mail.17usoft.com,1,mail.17usoft.com,58.210.35.52,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='mail.17usoft.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000201F9A1FE88>, 'Connection to mail.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,58.210.0.0/17,AS4134,China Telecom,中国江苏省苏州市,电信,RiddlerQuery
8,0,0,0,1,http://mail.17usoft.com,mail.17usoft.com,1,mail.17usoft.com,58.210.35.52,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='mail.17usoft.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000201F9906788>, 'Connection to mail.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,58.210.0.0/17,AS4134,China Telecom,中国江苏省苏州市,电信,RiddlerQuery
9,0,1,1,1,https://mail.tcmail.17usoft.com,mail.tcmail.17usoft.com,2,mail.tcmail.17usoft.com,58.211.111.27,1,1,443,200,OK,Outlook Web App,"Microsoft-IIS/8.5,ASP.NET",58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,HackerTargetQuery
10,0,0,0,1,http://mail.tcmail.17usoft.com,mail.tcmail.17usoft.com,2,mail.tcmail.17usoft.com,58.211.111.27,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='mail.tcmail.17usoft.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000201F98FC808>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,HackerTargetQuery
11,0,1,1,1,https://pay.17usoft.com,pay.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,' ',openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
12,0,1,1,1,http://pay.17usoft.com,pay.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
13,0,1,1,1,http://search.17usoft.com,search.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
14,0,1,1,1,https://search.17usoft.com,search.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
15,0,0,0,1,http://servicedujia.17usoft.com,servicedujia.17usoft.com,1,servicedujia.17usoft.com,61.155.159.101,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='servicedujia.17usoft.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000201F9A33E48>, 'Connection to servicedujia.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,61.155.159.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,HackerTargetQuery
16,0,0,0,1,https://servicedujia.17usoft.com,servicedujia.17usoft.com,1,servicedujia.17usoft.com,61.155.159.101,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='servicedujia.17usoft.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000201F9884E48>, 'Connection to servicedujia.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,61.155.159.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,HackerTargetQuery
17,0,1,1,1,http://smsreceive.17usoft.com,smsreceive.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,200,OK,'',"Microsoft-IIS/7.5,ASP.NET",61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
18,0,1,1,1,https://smsreceive.17usoft.com,smsreceive.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,' ',openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
19,0,1,1,1,http://support.17usoft.com,support.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,CeBaiduQuery
20,0,1,1,1,https://support.17usoft.com,support.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,' ',openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,CeBaiduQuery
21,0,1,1,1,http://tccommon.17usoft.com,tccommon.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
22,0,1,1,1,https://tccommon.17usoft.com,tccommon.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
23,0,1,1,1,https://tccommon.qas.17usoft.com,tccommon.qas.17usoft.com,2,tccommon.qas.17usoft.com,58.211.111.21,1,1,443,403,Forbidden,403 Forbidden,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,CertSpotterQuery
24,0,1,1,1,http://tccommon.qas.17usoft.com,tccommon.qas.17usoft.com,2,tccommon.qas.17usoft.com,58.211.111.21,1,1,80,403,Forbidden,403 Forbidden,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,CertSpotterQuery
25,0,1,1,1,https://tccommon1.17usoft.com,tccommon1.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
26,0,1,1,1,http://tccommon1.17usoft.com,tccommon1.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,403,Forbidden,403 Forbidden,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,RapidDNSQuery
27,0,1,1,1,http://tcflightfrontapi.17usoft.com,tcflightfrontapi.17usoft.com,1,tcflightfrontapi.17usoft.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
28,0,1,1,1,https://tcflightfrontapi.17usoft.com,tcflightfrontapi.17usoft.com,1,tcflightfrontapi.17usoft.com,61.177.22.232,1,1,443,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,BaiduSearch
29,0,1,1,1,https://tcflightopenapi.17usoft.com,tcflightopenapi.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,443,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
30,0,1,1,1,http://tcflightopenapi.17usoft.com,tcflightopenapi.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,1,80,200,OK,Welcome to OpenResty!,openresty,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
