id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,1,0,0,1,https://app.lib.dali.edu.cn,app.lib.dali.edu.cn,2,app.lib.dali.edu.cn,202.203.31.254,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='app.lib.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed46654a8>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
2,1,1,1,1,http://app.lib.dali.edu.cn,app.lib.dali.edu.cn,2,app.lib.dali.edu.cn,202.203.31.254,1,0,80,200,OK,'',Apache/2.4.10 (Win32) OpenSSL/0.9.8zb PHP/5.3.29,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
3,1,0,0,1,https://astro.dali.edu.cn,astro.dali.edu.cn,1,astro.dali.edu.cn,202.203.16.9,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='astro.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed4f74f28>, 'Connection to astro.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
4,1,0,0,1,http://astro.dali.edu.cn,astro.dali.edu.cn,1,astro.dali.edu.cn,202.203.16.9,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='astro.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8ed45f6c18>, 'Connection to astro.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
5,1,1,1,1,http://benhui.dali.edu.cn,benhui.dali.edu.cn,1,benhui.dali.edu.cn,202.203.16.36,1,0,80,200,OK,Home - Benhui CHEN - Dali University,"none,ASP.NET",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
6,1,0,1,1,https://benhui.dali.edu.cn,benhui.dali.edu.cn,1,benhui.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
7,0,0,1,1,http://bsdt.dali.edu.cn,bsdt.dali.edu.cn,1,bsdt.dali.edu.cn,202.203.16.36,1,0,80,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
8,0,0,1,1,https://bsdt.dali.edu.cn,bsdt.dali.edu.cn,1,bsdt.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
9,0,0,0,1,http://cas.dali.edu.cn,cas.dali.edu.cn,1,cas.dali.edu.cn,202.203.16.74,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='cas.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8ed4f21198>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,CrtshQuery
10,0,1,1,1,https://cas.dali.edu.cn,cas.dali.edu.cn,1,cas.dali.edu.cn,202.203.16.74,1,0,443,404,Not Found,'',Apache-Coyote/1.1,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,CrtshQuery
11,1,0,1,1,https://ccnis2016.dali.edu.cn,ccnis2016.dali.edu.cn,1,ccnis2016.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
12,1,1,1,1,http://ccnis2016.dali.edu.cn,ccnis2016.dali.edu.cn,1,ccnis2016.dali.edu.cn,202.203.16.36,1,1,80,200,OK,CCNIS2016,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
13,0,0,0,1,http://cec.dali.edu.cn,cec.dali.edu.cn,1,cec.dali.edu.cn,202.203.16.58,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='cec.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8ed4686240>, 'Connection to cec.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
14,0,0,0,1,https://cec.dali.edu.cn,cec.dali.edu.cn,1,cec.dali.edu.cn,202.203.16.58,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='cec.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed457bd30>, 'Connection to cec.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
15,1,0,0,1,https://cwmx.dali.edu.cn,cwmx.dali.edu.cn,1,cwmx.dali.edu.cn,202.203.16.26,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='cwmx.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed457b898>, 'Connection to cwmx.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
16,1,1,1,1,http://cwmx.dali.edu.cn,cwmx.dali.edu.cn,1,cwmx.dali.edu.cn,202.203.16.26,1,0,80,200,,Apache Tomcat/8.5.51,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
17,0,0,1,1,https://dldxvpn.dali.edu.cn,dldxvpn.dali.edu.cn,1,dldxvpn.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
18,0,1,1,1,http://dldxvpn.dali.edu.cn,dldxvpn.dali.edu.cn,1,dldxvpn.dali.edu.cn,202.203.16.36,1,0,80,200,OK,大理大学VPN系统使用方法,"none,ASP.NET",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,IP138Query
19,0,1,1,1,http://dldxywyjs.dali.edu.cn,dldxywyjs.dali.edu.cn,1,dldxywyjs.dali.edu.cn,202.203.16.36,1,0,80,200,OK,"大理大学药物研究所-Institute of Materia Medica, Dali University","none,WAF/2.0",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
20,0,0,1,1,https://dldxywyjs.dali.edu.cn,dldxywyjs.dali.edu.cn,1,dldxywyjs.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
21,1,1,1,1,http://dludata.dali.edu.cn,dludata.dali.edu.cn,1,dludata.dali.edu.cn,202.203.16.36,1,1,80,200,OK,高等职业院校人才培养工作状态数据采集与管理系统,"none,ASP.NET",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
22,1,0,1,1,https://dludata.dali.edu.cn,dludata.dali.edu.cn,1,dludata.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
23,1,0,0,1,https://en.lib.dali.edu.cn,en.lib.dali.edu.cn,2,en.lib.dali.edu.cn,202.203.31.254,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en.lib.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed46eccf8>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
24,1,1,1,1,http://en.lib.dali.edu.cn,en.lib.dali.edu.cn,2,en.lib.dali.edu.cn,202.203.31.254,1,0,80,200,OK,'',Apache/2.4.10 (Win32) OpenSSL/0.9.8zb PHP/5.3.29,202.203.24.0/21,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
25,0,0,1,1,https://escis.dali.edu.cn,escis.dali.edu.cn,1,escis.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
26,0,1,1,1,http://escis.dali.edu.cn,escis.dali.edu.cn,1,escis.dali.edu.cn,202.203.16.36,1,1,80,200,OK,"Dali University, online International student recruitment platform of Dali University","none,ASP.NET",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
27,0,1,1,1,http://esciscn.dali.edu.cn,esciscn.dali.edu.cn,1,esciscn.dali.edu.cn,202.203.16.36,1,1,80,200,OK,Dali University(dali2)︱Online application to Dali University,"none,ASP.NET",202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
28,0,0,1,1,https://esciscn.dali.edu.cn,esciscn.dali.edu.cn,1,esciscn.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
29,1,0,0,1,https://hsk.dali.edu.cn,hsk.dali.edu.cn,1,hsk.dali.edu.cn,202.203.16.45,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='hsk.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed4572dd8>, 'Connection to hsk.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
30,1,0,0,1,http://hsk.dali.edu.cn,hsk.dali.edu.cn,1,hsk.dali.edu.cn,202.203.16.45,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='hsk.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8ed4542e10>, 'Connection to hsk.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
31,0,1,1,1,https://i.dali.edu.cn,i.dali.edu.cn,1,"i.dali.edu.cn,i.dali.edu.cn","202.203.16.81,202.203.16.73","1,1",0,443,404,Not Found,'',nginx/1.18.0,"202.203.16.0/24,202.203.16.0/24","AS4538,AS4538","China Education and Research Network Center,China Education and Research Network Center","中国云南省大理,中国云南省大理","教育网,教育网",Sublist3rQuery
32,0,1,1,1,http://i.dali.edu.cn,i.dali.edu.cn,1,"i.dali.edu.cn,i.dali.edu.cn","202.203.16.81,202.203.16.73","1,1",1,80,200,OK,大理大学统一身份认证平台,Apache-Coyote/1.1,"202.203.16.0/24,202.203.16.0/24","AS4538,AS4538","China Education and Research Network Center,China Education and Research Network Center","中国云南省大理,中国云南省大理","教育网,教育网",Sublist3rQuery
