id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,0,1,1,1,https://abapi.guazi.com,abapi.guazi.com,1,cars.pro.growth.guazi.com,124.251.6.98,1,0,443,404,Not Found,Whitelabel Error Page,openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,NetCraftQuery
2,0,1,1,1,http://abapi.guazi.com,abapi.guazi.com,1,cars.pro.growth.guazi.com,124.251.6.98,1,0,80,404,Not Found,Whitelabel Error Page,openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,NetCraftQuery
3,0,1,1,1,http://ad-www.guazi.com,ad-www.guazi.com,1,0y8nlhcv.sched.sma.tdnsv5.com,183.224.33.78,1,0,80,200,OK,【大理二手车_大理二手车交易市场】-瓜子二手车,Lego Server,183.224.32.0/20,AS9808,Guangdong Mobile Communication Co.Ltd.,中国云南省昆明市,移动,CeBaiduQuery
4,0,1,1,1,https://ad-www.guazi.com,ad-www.guazi.com,1,0y8nlhcv.sched.sma.tdnsv5.com,183.224.33.78,1,0,443,200,OK,【大理二手车_大理二手车交易市场】-瓜子二手车,Lego Server,183.224.32.0/20,AS9808,Guangdong Mobile Communication Co.Ltd.,中国云南省昆明市,移动,CeBaiduQuery
5,1,1,1,1,https://am001.guazi.com,am001.guazi.com,1,am001.guazi.com,124.250.45.79,1,0,443,404,Not Found,'',openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,AlienVaultQuery
6,1,1,1,1,http://am001.guazi.com,am001.guazi.com,1,am001.guazi.com,124.250.45.79,1,0,80,200,OK,【您访问的页面不存在】-瓜子二手车直卖网,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,AlienVaultQuery
7,0,1,1,1,https://amb.guazi.com,amb.guazi.com,1,cars.nc.maodou.com,124.251.6.96,1,1,443,200,OK,阿米巴管理后台,openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
8,0,1,1,1,http://amb.guazi.com,amb.guazi.com,1,cars.nc.maodou.com,124.251.6.96,1,1,80,200,OK,阿米巴管理后台,openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
9,0,1,1,1,https://ams.guazi.com,ams.guazi.com,1,cars.pro.pub.guazi.com,124.250.45.93,1,1,443,200,OK,车好多集团,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
10,0,1,1,1,http://ams.guazi.com,ams.guazi.com,1,cars.pro.pub.guazi.com,124.250.45.93,1,1,80,200,OK,车好多集团,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
11,0,0,0,1,https://analytics.guazi.com,analytics.guazi.com,1,analytics.guazi.com,124.250.45.15,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='analytics.guazi.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000221ADC6F6C8>, 'Connection to analytics.guazi.com timed out. (connect timeout=3.05)'))""),)",,,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
12,0,0,0,1,http://analytics.guazi.com,analytics.guazi.com,1,analytics.guazi.com,124.250.45.15,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='analytics.guazi.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000221AFB88D88>, 'Connection to analytics.guazi.com timed out. (connect timeout=3.05)'))""),)",,,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
13,0,1,1,1,https://api-jr.guazi.com,api-jr.guazi.com,1,api-jr.guazi.com,124.250.45.70,1,0,443,403,Forbidden,'',openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,AlienVaultQuery
14,0,1,1,1,http://api-jr.guazi.com,api-jr.guazi.com,1,api-jr.guazi.com,124.250.45.70,1,0,80,403,Forbidden,'',openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,AlienVaultQuery
15,0,1,1,1,https://api.guazi.com,api.guazi.com,1,cars.pro.ms.guazi.com,124.251.6.95,1,0,443,404,Not Found,"'{""code"":-1,""message"":""uri match failed."",""data"":[]}'",openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
16,0,1,1,1,http://api.guazi.com,api.guazi.com,1,cars.pro.ms.guazi.com,124.251.6.95,1,0,80,404,Not Found,"'{""code"":-1,""message"":""uri match failed."",""data"":[]}'",openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
17,0,0,0,1,https://apitest.guazi.com,apitest.guazi.com,1,apitest.guazi.com,10.16.208.92,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='apitest.guazi.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000221ADACF048>, 'Connection to apitest.guazi.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
18,0,0,0,1,http://apitest.guazi.com,apitest.guazi.com,1,apitest.guazi.com,10.16.208.92,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='apitest.guazi.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000221AF803788>, 'Connection to apitest.guazi.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
19,0,1,1,1,http://apmreport.guazi.com,apmreport.guazi.com,1,cars.wx.guazi.com,124.250.45.72,1,1,80,200,OK,INSPINIA | 404 Error,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
20,0,1,1,1,https://apmreport.guazi.com,apmreport.guazi.com,1,cars.wx.guazi.com,124.250.45.72,1,1,443,200,OK,INSPINIA | 404 Error,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,CeBaiduQuery
21,1,1,1,1,https://app.cache.guazi.com,app.cache.guazi.com,2,"zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com","36.147.15.14,36.147.15.9,36.147.15.10,36.147.15.8,36.147.15.7,36.147.15.13,36.147.15.12,36.147.15.11,36.147.15.6","1,1,1,1,1,1,1,1,1",1,443,403,Forbidden,ERROR: ACCESS DENIED,web cache,"36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18","AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808","Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.","中国,中国,中国,中国,中国,中国,中国,中国,中国","移动,移动,移动,移动,移动,移动,移动,移动,移动",AlienVaultQuery
22,1,1,1,1,http://app.cache.guazi.com,app.cache.guazi.com,2,"zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com,zguazi.v.qingcdn.com","36.147.15.14,36.147.15.9,36.147.15.10,36.147.15.8,36.147.15.7,36.147.15.13,36.147.15.12,36.147.15.11,36.147.15.6","1,1,1,1,1,1,1,1,1",1,80,403,Forbidden,ERROR: ACCESS DENIED,web cache,"36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18,36.147.0.0/18","AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808,AS9808","Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.,Guangdong Mobile Communication Co.Ltd.","中国,中国,中国,中国,中国,中国,中国,中国,中国","移动,移动,移动,移动,移动,移动,移动,移动,移动",AlienVaultQuery
23,0,1,1,1,http://app2-jr.guazi.com,app2-jr.guazi.com,1,app2-jr.guazi.com,124.250.45.70,1,1,80,200,OK,瓜子金融,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
24,0,1,1,1,https://app2-jr.guazi.com,app2-jr.guazi.com,1,app2-jr.guazi.com,124.250.45.70,1,1,443,200,OK,瓜子金融,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
25,0,0,1,1,http://audio.guazi.com,audio.guazi.com,1,cars.kf.guazi.com,124.251.6.63,1,0,80,400,Bad Request,'InvalidArgumenttx0000000000000390d9094-005f7442cb-469bb65-default469bb65-default-default',openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,RiddlerQuery
26,0,0,1,1,https://audio.guazi.com,audio.guazi.com,1,cars.kf.guazi.com,124.251.6.63,1,0,443,400,Bad Request,'InvalidArgumenttx0000000000000006f341f-005f7442ce-4cfc134-default4cfc134-default-default',openresty,124.251.0.0/19,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,RiddlerQuery
27,0,1,1,1,https://autodiscover.guazi.com,autodiscover.guazi.com,1,autodiscover.guazi.com,124.250.45.78,1,0,443,403,Forbidden,'',"Microsoft-IIS/8.5,ASP.NET",124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
28,0,1,1,1,http://autodiscover.guazi.com,autodiscover.guazi.com,1,autodiscover.guazi.com,124.250.45.78,1,0,80,200,OK,Guazi | Login,openresty,124.250.40.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
