id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,1,0,0,1,http://gbcp.kmmc.cn,gbcp.kmmc.cn,1,gbcp.kmmc.cn,61.166.241.217,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='gbcp.kmmc.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb33c2c20f0>, 'Connection to gbcp.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,SoSearch
2,1,0,0,1,https://gbcp.kmmc.cn,gbcp.kmmc.cn,1,gbcp.kmmc.cn,61.166.241.217,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='gbcp.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb33c2dc9e8>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))""),)",,,61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,SoSearch
3,0,1,1,1,http://hqjf.kmmc.cn,hqjf.kmmc.cn,1,hqjf.kmmc.cn,220.163.113.51,1,1,80,200,OK,Apache Tomcat/7.0.59,*****************,220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,BaiduSearch
4,0,0,0,1,https://hqjf.kmmc.cn,hqjf.kmmc.cn,1,hqjf.kmmc.cn,220.163.113.51,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='hqjf.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c248550>, 'Connection to hqjf.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,BaiduSearch
5,0,0,0,1,https://jccys.kmmc.cn,jccys.kmmc.cn,1,jccys.kmmc.cn,220.163.113.44,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='jccys.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c329630>, 'Connection to jccys.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,BaiduSearch
6,0,1,1,1,http://jccys.kmmc.cn,jccys.kmmc.cn,1,jccys.kmmc.cn,220.163.113.44,1,1,80,200,OK,统一身份认证平台,nginx,220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,BaiduSearch
7,0,1,1,1,http://jcczw.kmmc.cn,jcczw.kmmc.cn,1,jcczw.kmmc.cn,61.166.241.211,1,1,80,200,,'\n\n',*************,61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
8,0,1,1,1,https://jcczw.kmmc.cn,jcczw.kmmc.cn,1,jcczw.kmmc.cn,61.166.241.211,1,1,443,200,OK,'\n\n\n\n\n\n\n\n\n\n\n\n\n\r\nYour browser does not support JavaScript (or it is blocked). Please check your browser settings and make sure it supports JavaScript.\r\n\n\n\n\n\n',Server,61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
9,0,1,1,1,http://job.kmmc.cn,job.kmmc.cn,1,u.bysjy.com.cn,47.91.162.12,1,1,80,200,OK,昆明医科大学就业信息网,nginx,47.91.128.0/18,AS45102,Alibaba (US) Technology Co. Ltd.,中国香港,阿里云,AlienVaultQuery
10,0,0,0,1,https://job.kmmc.cn,job.kmmc.cn,1,u.bysjy.com.cn,47.91.162.12,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='job.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33cb92ef0>, 'Connection to job.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,47.91.128.0/18,AS45102,Alibaba (US) Technology Co. Ltd.,中国香港,阿里云,AlienVaultQuery
11,0,0,0,1,https://jxpt.kmmc.cn,jxpt.kmmc.cn,1,jxpt.kmmc.cn,220.163.113.53,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='jxpt.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33cb82b70>, 'Connection to jxpt.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
12,0,1,1,1,http://jxpt.kmmc.cn,jxpt.kmmc.cn,1,jxpt.kmmc.cn,220.163.113.53,1,1,80,200,OK,课程中心4.0,"*****************,*******",220.163.0.0/16,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
13,0,0,0,1,http://kyhq.kmmc.cn,kyhq.kmmc.cn,1,kyhq.kmmc.cn,116.55.226.216,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='kyhq.kmmc.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb33c308160>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))""),)",,,116.55.226.0/24,AS134765,CHINANET Yunnan province IDC1 network,中国云南省昆明市,电信,IP138Query
14,0,0,0,1,https://kyhq.kmmc.cn,kyhq.kmmc.cn,1,kyhq.kmmc.cn,116.55.226.216,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='kyhq.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c268588>, 'Connection to kyhq.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,116.55.226.0/24,AS134765,CHINANET Yunnan province IDC1 network,中国云南省昆明市,电信,IP138Query
15,0,0,0,1,http://ns.kmmc.cn,ns.kmmc.cn,1,ns.kmmc.cn,121.49.163.5,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ns.kmmc.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb33cc217f0>, 'Connection to ns.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,121.49.160.0/19,AS4538,China Education and Research Network Center,中国云南省昆明市,教育网,QuerySOA
16,0,0,0,1,https://ns.kmmc.cn,ns.kmmc.cn,1,ns.kmmc.cn,121.49.163.5,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ns.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c249438>, 'Connection to ns.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,121.49.160.0/19,AS4538,China Education and Research Network Center,中国云南省昆明市,教育网,QuerySOA
17,0,1,1,1,http://oa.kmmc.cn,oa.kmmc.cn,1,oa.kmmc.cn,61.166.241.247,1,1,80,200,OK,欢迎使用Netcase办公自动化系统,"*****************,*******",61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
18,0,0,0,1,https://oa.kmmc.cn,oa.kmmc.cn,1,oa.kmmc.cn,61.166.241.247,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='oa.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c268518>, 'Connection to oa.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,61.166.224.0/19,AS4134,China Telecom,中国云南省昆明市,电信,AlienVaultQuery
19,0,0,0,1,https://rdp.kmmc.cn,rdp.kmmc.cn,1,rdp.kmmc.cn,121.49.182.243,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='rdp.kmmc.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb33c268048>, 'Connection to rdp.kmmc.cn timed out. (connect timeout=3.05)'))""),)",,,121.49.160.0/19,AS4538,China Education and Research Network Center,中国云南省昆明市,教育网,RapidDNSQuery
