主办单位名称       北京百度网讯科技有限公司
主办单位性质       京ICP证030173号-1
网站名称       百度
网站首页地址       www.baidu.com
认证       https://v.yunaq.com/certificate?domain=www.baidu.com&code=90030
网站域名       baidu.com
备案号         京ICP证030173号-1
审核时间       2020-08-05
该单位备案网站                 网站名称                网站首页地址                审核时间


京ICP证030173号-1             百度         www.baidu.com        2017-08-29
京ICP证030173号-104             百度智能落地门户         www.aipage.com        2019-02-03
京ICP证030173号-105             简单搜索门户         www.searchcraft.cn        2017-12-22
京ICP证030173号-106             北京百度网讯科技有限公司         www.baiduads.com        2019-05-21
京ICP证030173号-108             智能小程序门户         www.smartapps.cn        2019-02-03
京ICP证030173号-109             百度云云市场API网关         www.bdymkt.com        2019-05-21
京ICP证030173号-11             搜索研发部官方网站         www.baidu-tech.com        2019-05-21
京ICP证030173号-110             统计数据         www.bdtjrcv.com        2019-05-21
京ICP证030173号-112             百度         www.baidu.cn        2019-05-21
京ICP证030173号-113             百度统一前端平台         www.bfe-networks.com        2019-05-21
京ICP证030173号-116             PaddlePaddle飞桨         www.paddlepaddle.org.cn        2019-05-21
京ICP证030173号-12             无线图片服务         www.baidu-img.cn<br />www.baidu-1img.cn<br />www.baidu-2img.cn<br />www.baidu-3img.cn        2019-05-21
京ICP证030173号-120             百度云加速         www.yunjiasu-cdn.net        2019-05-21
京ICP证030173号-124             百度云加速         www.yunjiasu.com        2019-05-21
京ICP证030173号-13             无线thumbnail服务1         www.baidu-jpgnew.com        2019-05-21
京ICP证030173号-144             好看         www.haokan.com        2020-08-05
京ICP证030173号-15             无线thumbnail服务3         www.baidu-jpg.com        2019-05-21
京ICP证030173号-159             爱企查         www.aiqicha.com        2020-08-05
京ICP证030173号-16             无线thumbnail服务4         www.baidu-imgnew.com        2019-05-21
京ICP证030173号-17             百度         www.baidu.com.cn        2019-05-21
京ICP证030173号-18             鸿媒体         www.hongmeiti.com        2016-06-02
京ICP证030173号-2             百度空间         www.bdimg.com        2020-07-17
京ICP证030173号-20             新知         www.xinzhi.com        2016-06-02
京ICP证030173号-21             百度短网址         www.duapp.com<br />www.dwz.cn        2019-02-03
京ICP证030173号-22             百度网页翻译         www.baiducontent.com        2019-09-27
京ICP证030173号-23             百度网页检索静态内容服务         www.bdstatic.com<br />www.bdstatic.cn        2020-08-05
京ICP证030173号-24             百度阳光行动官方网站百度蒲公英计划         www.baiduyangguang.org        2019-05-21
京ICP证030173号-25             网址之家         hao123.com        2020-08-05
京ICP证030173号-26             悠洋游戏         swan366.com        2016-06-02
京ICP证030173号-27             百度网盟推广         www.baidustatic.com        2019-05-21
京ICP证030173号-28             易游百度         www.eyoubaidu.com        2016-06-02
京ICP证030173号-29             百度网盘         www.baidupcs.com        2019-05-21
京ICP证030173号-3             百度泛用客户体验         www.baiduux.com        2019-05-21
京ICP证030173号-30             百度         www.百度网站.cn        2019-12-02
京ICP证030173号-31             百度汇         www.baiduhui.com        2019-05-21
京ICP证030173号-32             百度金融         www.baidu-bank.com        2019-05-21
京ICP证030173号-33             百度魔图         www.jingling.cn        2016-06-02
京ICP证030173号-34             百度贴吧         www.tieba.com        2020-08-05
